complemento.valorTotal,dets.nItem,dets.prod.indTot,dets.prod.qCom,dets.prod.uCom,dets.prod.vProd,dets.prod.vUnCom,dets.prod.xProd,emit.cnpj,emit.enderEmit.fone,emit.enderEmit.uf,emit.enderEmit.xBairro,emit.enderEmit.xLgr,emit.enderEmit.xMun,emit.enderEmit.xPais,emit.xFant,ide.dhEmi.$date,ide.natOp,infAdic.infCpl,total.icmsTot.vbc,total.icmsTot.vbcst,total.icmsTot.vcofins,total.icmsTot.vDesc,total.icmsTot.vFrete,total.icmsTot.vicms,total.icmsTot.vicmsDeson,total.icmsTot.vii,total.icmsTot.vipi,total.icmsTot.vnf,total.icmsTot.vOutro,total.icmsTot.vpis,total.icmsTot.vProd,total.icmsTot.vSeg,total.icmsTot.vst,total.icmsTot.vTotTrib,versaoDocumento
"100,99",2,1,1,UN,"12,5","12,5",WHISKY,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-20T15:05:08.000Z,VENDA,Mesa 94,0,0,0,0,0,0,0,0,0,"91,21",0,0,"101,01",0,0,"12,44",[Record]
"100,99",3,1,"1,076",KG,"73,81","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-20T15:05:08.000Z,VENDA,Mesa 94,0,0,0,0,0,0,0,0,0,"91,21",0,0,"101,01",0,0,"12,44",[Record]
"101,79",1,1,1,UN,15,15,SAKE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-19T23:40:20.000Z,VENDA,Mesa 85,0,0,0,0,0,0,0,0,0,"101,82",0,0,"101,82",0,0,"12,57",[Record]
"101,79",2,1,"1,2",KG,"82,32","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-19T23:40:20.000Z,VENDA,Mesa 85,0,0,0,0,0,0,0,0,0,"101,82",0,0,"101,82",0,0,"12,57",[Record]
"101,79",3,1,1,UN,"4,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-19T23:40:20.000Z,VENDA,Mesa 85,0,0,0,0,0,0,0,0,0,"101,82",0,0,"101,82",0,0,"12,57",[Record]
"101,92",1,1,"1,298",KG,"89,04","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-21T21:27:00.000Z,VENDA,Mesa 30,0,0,0,0,0,0,0,0,0,"101,94",0,0,"101,94",0,0,"9,76",[Record]
"101,92",2,1,1,UN,"4,95","4,95",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-21T21:27:00.000Z,VENDA,Mesa 30,0,0,0,0,0,0,0,0,0,"101,94",0,0,"101,94",0,0,"9,76",[Record]
"101,92",3,1,1,UN,"7,95","7,95",CERVEJA LATA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-21T21:27:00.000Z,VENDA,Mesa 30,0,0,0,0,0,0,0,0,0,"101,94",0,0,"101,94",0,0,"9,76",[Record]
"101,93",1,1,3,UN,"10,5","3,5",AGUA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T13:50:15.000Z,VENDA,Mesa 86,0,0,0,0,0,0,0,0,0,"87,94",0,0,"101,94",0,0,"7,72",1
"101,93",2,1,3,UN,"10,5","3,5",AGUA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T13:50:15.000Z,VENDA,Mesa 86,0,0,0,0,0,0,0,0,0,"87,94",0,0,"101,94",0,0,"7,72",1
"101,93",3,1,"1,18",KG,"80,94","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T13:50:15.000Z,VENDA,Mesa 86,0,0,0,0,0,0,0,0,0,"87,94",0,0,"101,94",0,0,"7,72",1
"101,95",1,1,"1,29",KG,"88,49","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T21:56:18.000Z,VENDA,Mesa 57,0,0,0,0,0,0,0,0,0,"92,99",0,0,"101,99",0,0,"4,29",1
"101,95",2,1,3,UN,"13,5","4,5",SUCO,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T21:56:18.000Z,VENDA,Mesa 57,0,0,0,0,0,0,0,0,0,"92,99",0,0,"101,99",0,0,"4,29",1
"102,09",1,1,"1,272",KG,"87,25","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-23T14:56:24.000Z,VENDA,Mesa 90,0,0,0,0,0,0,0,0,0,"102,1",0,0,"102,1",0,0,"10,59",[Record]
"102,09",2,1,1,UN,"4,95","4,95",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-23T14:56:24.000Z,VENDA,Mesa 90,0,0,0,0,0,0,0,0,0,"102,1",0,0,"102,1",0,0,"10,59",[Record]
"102,09",3,1,1,UN,"4,95","4,95",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-23T14:56:24.000Z,VENDA,Mesa 90,0,0,0,0,0,0,0,0,0,"102,1",0,0,"102,1",0,0,"10,59",[Record]
"102,09",4,1,1,UN,"4,95","4,95",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-23T14:56:24.000Z,VENDA,Mesa 90,0,0,0,0,0,0,0,0,0,"102,1",0,0,"102,1",0,0,"10,59",[Record]
"102,66",1,1,"1,3",KG,"89,18","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T21:56:54.000Z,VENDA,Mesa 43,0,0,0,0,0,0,0,0,0,"93,68",0,0,"102,68",0,0,"6,41",1
"102,66",2,1,3,UN,"13,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-13T21:56:54.000Z,VENDA,Mesa 43,0,0,0,0,0,0,0,0,0,"93,68",0,0,"102,68",0,0,"6,41",1
"102,75",1,1,"1,17",KG,"80,26","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-06T13:13:50.000Z,VENDA,Mesa 60,0,0,0,0,0,0,0,0,0,"93,76",0,0,"102,76",0,0,"10,6",1
"102,75",2,1,3,UN,"13,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-06T13:13:50.000Z,VENDA,Mesa 60,0,0,0,0,0,0,0,0,0,"93,76",0,0,"102,76",0,0,"10,6",1
"102,75",3,1,2,UN,9,"4,5",CERVEJA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-06T13:13:50.000Z,VENDA,Mesa 60,0,0,0,0,0,0,0,0,0,"93,76",0,0,"102,76",0,0,"10,6",1
"102,89",1,1,6,UN,21,"3,5",AGUA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-20T13:08:41.000Z,VENDA,Mesa 57,0,0,0,0,0,0,0,0,0,"88,9",0,0,"102,9",0,0,"7,77",[Record]
"102,89",2,1,"1,194",KG,"81,9","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-20T13:08:41.000Z,VENDA,Mesa 57,0,0,0,0,0,0,0,0,0,"88,9",0,0,"102,9",0,0,"7,77",[Record]
"102,9",1,1,"1,428",KG,"97,96","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-22T13:41:40.000Z,VENDA,Mesa 95,0,0,0,0,0,0,0,0,0,"102,91",0,0,"102,91",0,0,"6,42",[Record]
"102,9",2,1,1,UN,"4,95","4,95",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-22T13:41:40.000Z,VENDA,Mesa 95,0,0,0,0,0,0,0,0,0,"102,91",0,0,"102,91",0,0,"6,42",[Record]
"102,98",1,1,"1,24",KG,"84,99","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-11T21:54:59.000Z,VENDA,Mesa 13,0,0,0,0,0,0,0,0,0,"65,66",0,0,"102,99",0,0,"10,32",1
"102,98",2,1,4,UN,18,"4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-11T21:54:59.000Z,VENDA,Mesa 13,0,0,0,0,0,0,0,0,0,"65,66",0,0,"102,99",0,0,"10,32",1
"103,13",1,1,1,UN,"9,8","9,8",SUSHI ESPECIAL,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-06T20:52:30.000Z,VENDA,Mesa 35,0,0,0,0,0,0,0,0,0,"94,15",0,0,"103,15",0,0,"8,9",1
"103,13",2,1,"1,164",KG,"79,85","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-06T20:52:30.000Z,VENDA,Mesa 35,0,0,0,0,0,0,0,0,0,"94,15",0,0,"103,15",0,0,"8,9",1
"103,13",3,1,3,UN,"13,5","4,5",SUCO,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-06T20:52:30.000Z,VENDA,Mesa 35,0,0,0,0,0,0,0,0,0,"94,15",0,0,"103,15",0,0,"8,9",1
"104,03",1,1,1,UN,"6,5","6,5",SUSHI ESPECIAL,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-07T14:07:35.000Z,VENDA,Mesa 86,0,0,0,0,0,0,0,0,0,"104,04",0,0,"104,04",0,0,"7,14",1
"104,03",2,1,"1,422",KG,"97,54","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-07T14:07:35.000Z,VENDA,Mesa 86,0,0,0,0,0,0,0,0,0,"104,04",0,0,"104,04",0,0,"7,14",1
"104,08",1,1,"1,328",KG,"91,1","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-18T20:45:15.000Z,VENDA,Mesa 28,0,0,0,0,0,0,0,0,0,"104,1",0,0,"104,1",0,0,"9,9",1
"104,08",2,1,2,UN,13,"6,5",CERVEJA LATA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-18T20:45:15.000Z,VENDA,Mesa 28,0,0,0,0,0,0,0,0,0,"104,1",0,0,"104,1",0,0,"9,9",1
"104,2",1,1,"1,388",KG,"95,21","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-05T22:26:13.000Z,VENDA,Mesa 80,0,0,0,0,0,0,0,0,0,"104,21",0,0,"104,21",0,0,"8,2",1
"104,2",2,1,2,UN,9,"4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-05T22:26:13.000Z,VENDA,Mesa 80,0,0,0,0,0,0,0,0,0,"104,21",0,0,"104,21",0,0,"8,2",1
"104,44",1,1,1,UN,"3,5","3,5",AGUA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-09T13:41:20.000Z,VENDA,Mesa 81,0,0,0,0,0,0,0,0,0,"104,45",0,0,"104,45",0,0,"7,78",1
"104,44",2,1,"1,406",KG,"96,45","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-09T13:41:20.000Z,VENDA,Mesa 81,0,0,0,0,0,0,0,0,0,"104,45",0,0,"104,45",0,0,"7,78",1
"104,44",3,1,1,UN,"4,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-09T13:41:20.000Z,VENDA,Mesa 81,0,0,0,0,0,0,0,0,0,"104,45",0,0,"104,45",0,0,"7,78",1
"104,57",1,1,1,UN,"4,5","4,5",SUCO,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-05T22:08:12.000Z,VENDA,Mesa 64,0,0,0,0,0,0,0,0,0,"104,58",0,0,"104,58",0,0,"5,88",1
"104,57",2,1,1,UN,"3,5","3,5",AGUA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-05T22:08:12.000Z,VENDA,Mesa 64,0,0,0,0,0,0,0,0,0,"104,58",0,0,"104,58",0,0,"5,88",1
"104,57",3,1,"1,408",KG,"96,58","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-05T22:08:12.000Z,VENDA,Mesa 64,0,0,0,0,0,0,0,0,0,"104,58",0,0,"104,58",0,0,"5,88",1
"104,82",1,1,1,UN,1,1,CHA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-20T22:56:48.000Z,VENDA,Mesa 75,0,0,0,0,0,0,0,0,0,"95,82",0,0,"104,82",0,0,"9,99",[Record]
"104,82",2,1,1,UN,"6,5","6,5",SUSHI ESPECIAL,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-20T22:56:48.000Z,VENDA,Mesa 75,0,0,0,0,0,0,0,0,0,"95,82",0,0,"104,82",0,0,"9,99",[Record]
"104,82",3,1,"1,222",KG,"83,82","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-20T22:56:48.000Z,VENDA,Mesa 75,0,0,0,0,0,0,0,0,0,"95,82",0,0,"104,82",0,0,"9,99",[Record]
"104,82",4,1,3,UN,"13,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-20T22:56:48.000Z,VENDA,Mesa 75,0,0,0,0,0,0,0,0,0,"95,82",0,0,"104,82",0,0,"9,99",[Record]
"104,91",1,1,"1,464",KG,"100,43","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-11T21:05:16.000Z,VENDA,Mesa 40,0,0,0,0,0,0,0,0,0,"104,93",0,0,"104,93",0,0,"6,32",1
"104,91",2,1,1,UN,"4,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-11T21:05:16.000Z,VENDA,Mesa 40,0,0,0,0,0,0,0,0,0,"104,93",0,0,"104,93",0,0,"6,32",1
"105,15",1,1,"1,402",KG,"96,17","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-21T12:57:34.000Z,VENDA,Mesa 23,0,0,0,0,0,0,0,0,0,"105,17",0,0,"105,17",0,0,"8,24",[Record]
"105,15",2,1,1,UN,"4,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-21T12:57:34.000Z,VENDA,Mesa 23,0,0,0,0,0,0,0,0,0,"105,17",0,0,"105,17",0,0,"8,24",[Record]
"105,15",3,1,1,UN,"4,5","4,5",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-21T12:57:34.000Z,VENDA,Mesa 23,0,0,0,0,0,0,0,0,0,"105,17",0,0,"105,17",0,0,"8,24",[Record]
"105,63",1,1,2,UN,9,"4,5",SUCO,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-05T18:59:11.000Z,VENDA,Mesa 1,0,0,0,0,0,0,0,0,0,"105,65",0,0,"105,65",0,0,"5,92",1
"105,63",2,1,1,UN,"3,5","3,5",AGUA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-05T18:59:11.000Z,VENDA,Mesa 1,0,0,0,0,0,0,0,0,0,"105,65",0,0,"105,65",0,0,"5,92",1
"105,63",3,1,"1,358",KG,"93,15","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-05T18:59:11.000Z,VENDA,Mesa 1,0,0,0,0,0,0,0,0,0,"105,65",0,0,"105,65",0,0,"5,92",1
"106,22",1,1,1,UN,1,1,CHA,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-22T12:10:18.000Z,VENDA,Mesa 1,0,0,0,0,0,0,0,0,0,"106,25",0,0,"106,25",0,0,"9,09",[Record]
"106,22",2,1,"1,39",KG,"95,35","68,6",BUFFET,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-22T12:10:18.000Z,VENDA,Mesa 1,0,0,0,0,0,0,0,0,0,"106,25",0,0,"106,25",0,0,"9,09",[Record]
"106,22",3,1,1,UN,"4,95","4,95",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-22T12:10:18.000Z,VENDA,Mesa 1,0,0,0,0,0,0,0,0,0,"106,25",0,0,"106,25",0,0,"9,09",[Record]
"106,22",4,1,1,UN,"4,95","4,95",REFRIGERANTE,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-22T12:10:18.000Z,VENDA,Mesa 1,0,0,0,0,0,0,0,0,0,"106,25",0,0,"106,25",0,0,"9,09",[Record]
"106,39",1,1,2,UN,13,"6,5",SUSHI ESPECIAL,01.234.567/0001-89,1-650-933-4902,CA,"",650 Castro St. unit 210,Mountain View,United States,TOTVS Labs,2016-01-18T21:05:28.000Z,VENDA,Mesa 33,0,0,0,0,0,0,0,0,0,"106,4",0,0,"106,4",0,0,"11,9",1
